Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,CA,California,Colusa,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,81.8,,,78.8,84.4,"22,037","16,122",6011,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-122.238126872813 39.1776793679318)
2023,CA,California,Amador,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,37.6,,,33.3,42.2,"41,811","35,299",6005,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-120.650760892534 38.4464297028895)
2023,MT,Montana,Sanders,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,22.2,,,18.6,25.9,"13,684","11,386",30089,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-115.133410637731 47.67485749039)
2023,ID,Idaho,Elmore,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,24.3,,,21.3,27.5,"29,724","22,520",16039,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-115.469239162231 43.3536731193916)
2022,TX,Texas,Hood,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,65.4,,,60.7,69.9,"67,774","53,986",48221,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-97.832107492052 32.4300324854854)
2023,NE,Nebraska,Franklin,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,4.3,,,3.7,5.1,"2,825","2,223",31061,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-98.952831971485 40.1763829630923)
2023,ID,Idaho,Jefferson,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,50.5,,,45.9,54.9,"34,198","23,316",16051,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication,POINT (-112.311047195538 43.8201624900105)
2022,AL,Alabama,Wilcox,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,33.1,,,28.0,38.9,"9,944","7,755",1131,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-87.3083095693845 31.9892939338512)
2023,SD,South Dakota,Hyde,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,24.0,,,19.5,29.2,"1,186",913,46069,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-99.4870754081912 44.5472921113259)
2023,IN,Indiana,Wayne,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,9.0,,,7.0,11.3,"66,127","51,199",18177,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-85.0099470794164 39.8643259685154)
2022,IA,Iowa,Davis,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Age-adjusted prevalence,33.0,,,26.4,40.3,"9,169","6,446",19051,RISKBEH,SLEEP,AgeAdjPrv,Short Sleep Duration,POINT (-92.4099557150409 40.7477090811249)
2023,IN,Indiana,Wayne,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,27.5,,,24.4,30.6,"66,127","51,199",18177,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-85.0099470794164 39.8643259685154)
2023,MD,Maryland,Worcester,BRFSS,Disability,Cognitive disability among adults,%,Age-adjusted prevalence,13.3,,,11.3,15.5,"54,171","44,887",24047,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-75.3337982988111 38.2127499337864)
2023,NY,New York,Tioga,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,12.6,,,9.5,16.0,"47,715","38,115",36107,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps,POINT (-76.3059589040649 42.1703300051601)
2023,IL,Illinois,Effingham,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,23.4,,,20.3,26.6,"34,331","26,215",17049,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-88.5896155568299 39.0597062853535)
